"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tyms",2.33953734833139e-06,0.668792819676487,1,1,0.0570519577764092
"H2-Eb1",2.34115370605928e-06,1.32809857463571,1,1,0.0570913742759616
"Tuba1c",2.38362934745079e-06,0.556667170067439,1,1,0.0581271852669349
"Prnp",2.47414207181758e-06,-0.450106642950968,1,1,0.0603344285633434
"Atpif1",2.58263280374823e-06,-0.510698475437783,1,1,0.0629800835522044
"Mrpl52",2.59356924405331e-06,-0.369824288552719,1,1,0.0632467795854839
"Rps20",2.68836061437642e-06,-0.269118795296443,1,1,0.0655583619421833
"Lockd",2.74071407240679e-06,0.50237449095175,1,1,0.0668350533697119
"Nrm",2.80065268398105e-06,0.472088364618673,1,1,0.0682967163515619
"Anxa1",2.86636911412486e-06,0.936335362957751,1,1,0.0698992772170489
"Gtf2h5",2.92168536063336e-06,-0.41467784319449,1,1,0.071248219204405
"PR8-NA",3.11880852004892e-06,0.744694725697236,1,0,0.076055264569913
"Ndufb2",3.15998072296269e-06,-0.484028437420183,1,1,0.0770592899101681
"Rps27rt",3.55328094554179e-06,-0.417332839731513,1,1,0.0866503091379821
"Atp5mpl",3.65734312449398e-06,-0.750467509974574,1,1,0.0891879694339101
"Mettl26",3.8166710419331e-06,-0.402406039054693,1,1,0.0930733400285806
"Isg20",4.06393413655075e-06,1.4270942735311,1,1,0.0991030978539266
"Rps25",4.10115165105463e-06,-0.369596714230918,1,1,0.100010684162618
"Hist1h1e",4.19659962256417e-06,0.993714973604164,1,1,0.10233827839585
"Mrpl33",4.34045814932759e-06,-0.397283011642692,1,1,0.105846412429503
"Tspo",4.44425206698179e-06,0.914975472762429,1,1,0.108377530905418
"Diaph3",4.46865045481396e-06,0.491261709483947,1,1,0.108972509991093
"Ciita",4.46926822412119e-06,0.216689366971756,1,0,0.108987574913419
"Pcna",4.52225812621234e-06,0.545546978834772,1,1,0.110279786665814
"Hmox1",4.55858606020515e-06,-0.396345126226722,1,1,0.111165679664163
"Dnajb14",4.56136310748522e-06,-0.418767428308486,1,1,0.111233400739135
