"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.46899115680763e-60,2.4262161632504,0.465,0.141,1.57752818349911e-55,"12","Ptpre"
7.90526891633108e-60,2.33713857716738,0.441,0.143,1.9277788779365e-55,"12","Zyx"
1.05425102022648e-59,4.3451002766896,0.259,0.017,2.5708965379243e-55,"12","Fpr2"
1.68525536787354e-59,2.21490645381495,0.511,0.207,4.10966374009642e-55,"12","Skap2"
2.64862546830759e-59,2.820402093727,0.479,0.141,6.45893806701488e-55,"12","Csrnp1"
1.22500280651962e-58,0.812652957651891,1,0.998,2.98729184397875e-54,"12","H3f3b"
1.6675501765535e-58,2.95121886201539,0.481,0.141,4.06648786054336e-54,"12","Ogfrl1"
2.0664643292297e-58,2.94254263206365,0.43,0.114,5.03927991325954e-54,"12","Pde4b"
2.11061801405298e-58,2.50698284616078,0.331,0.042,5.14695308906959e-54,"12","AA467197"
4.32336872344358e-58,3.62116777708312,0.328,0.051,1.05429669689895e-53,"12","Ptafr"
6.88183270359475e-58,1.50770114956977,0.619,0.318,1.67820372309861e-53,"12","Anxa2"
2.24063140578633e-57,4.95455313424589,0.272,0.017,5.46400374615055e-53,"12","1600010M07Rik"
4.36148484433226e-57,2.88447965967008,0.425,0.111,1.06359169413887e-52,"12","Snap23"
5.43289233149415e-57,2.22787454200605,0.535,0.182,1.32486512395816e-52,"12","Slfn2"
1.26969394274972e-56,2.22071183192777,0.527,0.25,3.09627564878946e-52,"12","Nfkbiz"
1.29970551847908e-56,1.99676882675161,0.569,0.236,3.1694618773631e-52,"12","Samhd1"
1.33415538196096e-56,2.88102191359104,0.384,0.109,3.25347131445e-52,"12","Tnfaip3"
3.02914441158367e-56,3.3324462754183,0.329,0.056,7.38687156208794e-52,"12","Rin3"
4.92056386178381e-56,1.6581110645067,0.695,0.428,1.1999287033346e-51,"12","Arpc5"
6.72145562203222e-56,4.35333754510264,0.302,0.025,1.63909416798878e-51,"12","Mirt1"
1.08016142521377e-55,3.47656105384352,0.341,0.045,2.6340816515263e-51,"12","Emilin2"
4.73032826940177e-55,3.34656057715389,0.267,0.019,1.15353785177632e-50,"12","Mmp8"
1.87796392237959e-54,2.92772094964092,0.443,0.152,4.57960282111487e-50,"12","Gda"
5.07323750766839e-54,3.60095842869463,0.322,0.056,1.23715969862001e-49,"12","Ppp1r3b"
5.73249330071422e-54,2.9200768349401,0.395,0.07,1.39792581631217e-49,"12","Cd300a"
7.58243057788444e-54,0.876677549999607,0.959,0.842,1.8490515207229e-49,"12","Cfl1"
1.62756618478836e-53,0.959519496576986,0.937,0.882,3.9689828982249e-49,"12","Sem1"
3.06383590954924e-53,2.89534649726052,0.348,0.072,7.47147024902678e-49,"12","Myo1f"
4.28169945064556e-53,3.52740649717178,0.262,0.027,1.04413522803443e-48,"12","F630028O10Rik"
6.86554127305184e-53,1.63360582190058,0.532,0.163,1.67423089484642e-48,"12","Fyb"
8.6436808697199e-53,3.36385157791685,0.33,0.05,2.1078480168899e-48,"12","Themis2"
9.16518936353489e-53,1.96926913289294,0.617,0.385,2.23502307819162e-48,"12","Picalm"
1.11008158465619e-51,2.38406776348301,0.424,0.096,2.70704495234257e-47,"12","Cd300c2"
2.06053803811731e-51,1.22261537988051,0.79,0.675,5.02482805975288e-47,"12","Myl12b"
2.09765993137727e-51,1.38913977989551,0.651,0.433,5.1153535086566e-47,"12","Tln1"
3.76737209868267e-51,3.03995385875541,0.366,0.068,9.18711359984755e-47,"12","Gm26740"
6.2377076723311e-51,2.3594817378077,0.466,0.174,1.52112739297466e-46,"12","Trib1"
6.65195954443102e-51,2.29453427143891,0.464,0.161,1.62214685450495e-46,"12","Cd14"
1.38397018879299e-50,0.576288099956252,0.99,0.951,3.37494970239058e-46,"12","Myl6"
