"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ndufv3",7.82048028023544e-08,-1.32685927402597,0.75,1,0.00190710232113821
"Pfdn5",9.23792607613014e-08,-0.923502715605762,1,1,0.0022527606529251
"Rpl38",9.92600736227946e-08,-1.08745228362493,1,1,0.00242055615536547
"Tapbp",1.0089798851962e-07,1.78238976891232,1,1,0.00246049834803946
"Dnase1l3",1.01618960845139e-07,1.14338277399717,0.75,1,0.00247807997916955
"Slc29a3",1.0266593804437e-07,1.31206737377777,1,1,0.00250361156515001
"Helz2",1.16596507044243e-07,2.0330843505949,1,1,0.0028433224207809
"Rps21",1.24363001962323e-07,-1.6268784673028,1,1,0.00303271616585321
"Gbp3",1.26287743199416e-07,2.84207807773321,1,1,0.00307965290566095
"Gm5431",1.343769798153e-07,1.28576297760092,1,1,0.00327691702977591
"Cd72",1.37270350035719e-07,1.31086156335449,0.75,1,0.00334747475597103
"Hint1",1.47103659629132e-07,-1.100057394085,1,1,0.003587269843716
"Fcgr4",1.51825667675593e-07,1.62640796733728,1,1,0.003702420731937
"Gm20559",1.5849696530711e-07,1.44116090795019,1,1,0.00386510699597919
"Nfkbiz",1.69222419096841e-07,-1.00952489763989,1,1,0.00412665791209557
"Gbp9",1.70243064044409e-07,1.94789833454617,1,1,0.00415154735978697
"Cd209a",1.74946865643851e-07,-1.92387218716417,0.75,1,0.00426625426559094
"Tmem106a",1.81768493674815e-07,1.30720082918841,1,1,0.00443260648675404
"Rpl21",1.81962029360482e-07,-1.13236140238983,1,1,0.00443732604798471
"Eif3h",1.90158956369582e-07,-1.02031500265679,1,1,0.00463721631002863
"S100a11",1.91006369286515e-07,-0.850175304733925,1,1,0.00465788132142095
"Olfm1",1.94053241739048e-07,-1.29046395959964,0.75,1,0.00473218235304843
"Rps27",1.96019677108397e-07,-1.61810979819332,1,1,0.00478013584596538
"Spon1",2.05126174248242e-07,2.37660890538937,1,0.667,0.00500220688521762
"Oas1a",2.20145644311202e-07,1.12389491038541,0.75,1,0.00536847168217297
"Pnp",2.41608686536988e-07,1.60711295688195,1,1,0.00589186942989098
"Rpl14",2.50057046179414e-07,-1.163132701906,1,1,0.00609789112813118
"Atp5g2",2.56758666359114e-07,-0.810620821943894,1,1,0.00626131683783335
"Rps26",2.64525216422611e-07,-1.48756785560952,1,1,0.00645071192768178
"Rpl39",2.69040409893103e-07,-1.67524131241517,1,1,0.0065608194356532
"Aoah",2.81265586958649e-07,1.28737994925276,1,1,0.00685894260357361
"Parp9",2.97090068989807e-07,1.39689705251365,1,1,0.00724483842238544
"Cd81",2.98254930397271e-07,-0.594581685795996,1,1,0.00727324473266784
"Gas5",2.99811345753461e-07,-0.745123311738793,1,1,0.00731119947754389
"Set",3.09477012720509e-07,-0.984430791698591,1,1,0.00754690643220234
"Rps15a",3.13484723887818e-07,-1.48386422585245,1,1,0.00764463847672833
"Atp5h",3.66743414343789e-07,-0.858455378271654,1,1,0.00894340490218764
"Apobec1",3.69617485361644e-07,1.19580589030325,0.75,1,0.00901349199802906
"Eef1b2",3.69820129163811e-07,-1.16076216572398,1,1,0.0090184336697887
"Purb",3.83377503779622e-07,-0.232352082799553,1,1,0.00934904380716986
"Rpl5",4.21721219714635e-07,-1.12439500274958,1,1,0.0102840936639611
"Tmem176a",4.23215912231371e-07,-0.779575254395414,1,1,0.0103205432356742
"Uqcr11",4.27441573263151e-07,-1.23915888976093,0.75,1,0.0104235902055952
"Pabpc1",4.44326512134398e-07,-0.580249823373575,1,1,0.0108353463249094
"H2-Q6",4.50313525325739e-07,1.73752008453147,0.75,1,0.0109813456285935
"Calm2",4.62261835872469e-07,-0.967319700481815,1,1,0.011272717129586
"Snrpe",4.67720451230142e-07,-0.910456726298755,1,1,0.0114058309236982
"Rpl36",4.68156603579647e-07,-1.16760936749202,1,1,0.0114164669348933
"Ppp1r14b",4.83165037020666e-07,-1.30514904221235,0.75,1,0.011782462592786
"Herc6",5.34817699359885e-07,3.34926855853172,1,1,0.0130420644165902
"Mitd1",5.56236838934572e-07,1.23228176875543,1,1,0.0135643915542585
"Atp5mpl",5.67047273834818e-07,-1.23232914211378,0.75,1,0.0138280148197359
"Rpl3",6.07159216684979e-07,-1.28869376447232,1,1,0.0148061846580799
"Adap2",6.44287492844289e-07,1.63522489284777,1,1,0.0157115948005008
"Ubl5",6.56240919638671e-07,-0.417141778094166,1,1,0.0160030910663086
"Stmn1",6.86836513202518e-07,-1.34766239669939,0.75,1,0.0167491952109566
"Bsg",6.88386869426207e-07,-0.825826398016517,1,1,0.0167870021978275
