,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Broad_cluster,Cluster,revised_cluster
183,Coch,0,9.046994311,0.974,0.047,0,18,Coch,Epithelial,Ionocyte,Ionocyte
184,Clcnka,0,9.018162779,0.797,0.003,0,18,Clcnka,Epithelial,Ionocyte,Ionocyte
185,Galnt131,0,8.99952744,0.942,0.006,0,18,Galnt13,Epithelial,Ionocyte,Ionocyte
186,Ascl3,0,8.934026103,0.959,0.007,0,18,Ascl3,Epithelial,Ionocyte,Ionocyte
187,Moxd1,0,8.898819638,0.928,0.007,0,18,Moxd1,Epithelial,Ionocyte,Ionocyte
188,Foxi2,0,8.858072366,0.483,0.001,0,18,Foxi2,Epithelial,Ionocyte,Ionocyte
189,Myh7,0,8.783022978,0.269,0.001,0,18,Myh7,Epithelial,Ionocyte,Ionocyte
190,Bsnd,0,8.49062932,0.473,0.002,0,18,Bsnd,Epithelial,Ionocyte,Ionocyte
191,Tac1,0,7.59217798,0.533,0.004,0,19,Tac1,Epithelial,Serous,Ionocyte
192,Wfdc181,0,6.25847659,1,0.092,0,19,Wfdc18,Epithelial,Serous,Serous epithelial
193,Barx2,0,5.828518052,0.574,0.013,0,19,Barx2,Epithelial,Serous,Serous epithelial
194,Cited4,0,5.567128194,0.754,0.026,0,19,Cited4,Epithelial,Serous,Serous epithelial
195,Bglap3,0,5.291042074,0.458,0.02,0,19,Bglap3,Epithelial,Serous,Serous epithelial
196,Nkd2,0,5.083043539,0.305,0.018,0,19,Nkd2,Epithelial,Serous,Serous epithelial
197,Foxq1,0,5.021140134,0.502,0.022,0,19,Foxq1,Epithelial,Serous,Serous epithelial
198,Tfcp2l11,0,4.913292866,0.846,0.053,0,19,Tfcp2l1,Epithelial,Serous,Serous epithelial
199,Itprid11,0,4.84876358,0.513,0.027,0,19,Itprid1,Epithelial,Serous,Serous epithelial
200,Cxcl172,0,4.80610108,0.851,0.048,0,19,Cxcl17,Epithelial,Serous,Serous epithelial
201,Camp,0,13.31744892,0.989,0.01,0,20,Camp,Granulocyte,Camp++Lta4h+ Immature,Immature Neutrophil
202,Ngp,0,11.67401072,0.993,0.015,0,20,Ngp,Granulocyte,Camp++Lta4h+ Immature,Immature Neutrophil
203,4930438A08Rik,0,9.488159074,0.274,0,0,20,4930438A08Rik,Granulocyte,Camp++Lta4h+ Immature,Immature Neutrophil
204,Fcnb,0,9.179339327,0.417,0.003,0,20,Fcnb,Granulocyte,Camp++Lta4h+ Immature,Immature Neutrophil
205,Itgb2l,0,8.591559977,0.712,0.002,0,20,Itgb2l,Granulocyte,Camp++Lta4h+ Immature,Immature Neutrophil
206,Ly6g,0,8.348711465,0.741,0.003,0,20,Ly6g,Granulocyte,Camp++Lta4h+ Immature,Immature Neutrophil
207,Orm1,0,8.209544041,0.327,0.001,0,20,Orm1,Granulocyte,Camp++Lta4h+ Immature,Immature Neutrophil
208,Wfdc211,0,8.159781455,0.999,0.016,0,20,Wfdc21,Granulocyte,Camp++Lta4h+ Immature,Immature Neutrophil
209,Lcn21,0,8.105930564,0.986,0.047,0,20,Lcn2,Granulocyte,Camp++Lta4h+ Immature,Immature Neutrophil
210,Cebpe,0,7.782472701,0.666,0.005,0,20,Cebpe,Granulocyte,Camp++Lta4h+ Immature,Immature Neutrophil
211,Map3k7cl,0,11.17538558,0.287,0,0,21,Map3k7cl,Stromal,Smooth Muscle Cell,Smooth Muscle Cell
212,Higd1b,0,10.48508494,0.455,0.001,0,21,Higd1b,Stromal,Smooth Muscle Cell,Smooth Muscle Cell
213,Gm13861,0,10.42853805,0.287,0,0,21,Gm13861,Stromal,Smooth Muscle Cell,Smooth Muscle Cell
214,Pln,0,10.28611275,0.443,0.002,0,21,Pln,Stromal,Smooth Muscle Cell,Smooth Muscle Cell
215,Myh11,0,10.25495577,0.817,0.004,0,21,Myh11,Stromal,Smooth Muscle Cell,Smooth Muscle Cell
216,Rgs4,0,9.999508468,0.507,0.001,0,21,Rgs4,Stromal,Smooth Muscle Cell,Smooth Muscle Cell
