"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Snx173",3.33551752942279e-14,0.467310428252991,0.269,0.214,8.13399304725042e-10,"21","Snx17"
"Atp5c14",3.52255808480687e-14,0.277808955370909,0.737,0.729,8.59011014561004e-10,"21","Atp5c1"
"Bbx5",4.87357621108202e-14,0.385380338184061,0.294,0.235,1.18847029483446e-09,"21","Bbx"
"Spop6",7.22493439725287e-14,0.307653221552414,0.561,0.512,1.76187250211409e-09,"21","Spop"
"Atraid7",9.16116773451639e-14,0.401127254986177,0.372,0.315,2.23404236373917e-09,"21","Atraid"
"Psmc34",9.59870083595184e-14,0.343255291176829,0.519,0.481,2.34073918585522e-09,"21","Psmc3"
"Zmynd115",1.83857154031754e-13,0.335362274359114,0.413,0.356,4.48354055821835e-09,"21","Zmynd11"
"Bola37",3.07709080150557e-13,0.435165837443821,0.312,0.259,7.50379362855149e-09,"21","Bola3"
"Ppp1r29",3.5265812881129e-13,0.293752797841426,0.503,0.444,8.59992112919213e-09,"21","Ppp1r2"
"Morf4l26",3.9435693314015e-13,0.357658878834584,0.373,0.316,9.61678817155569e-09,"21","Morf4l2"
"Dnajc85",5.47524691287633e-13,0.316230705017454,0.526,0.482,1.33519371217402e-08,"21","Dnajc8"
"Mlf27",7.79794053108105e-13,0.367933156301826,0.427,0.377,1.90160577790943e-08,"21","Mlf2"
"Snrnp276",9.48926209516142e-13,0.37397590205629,0.425,0.375,2.31405145452606e-08,"21","Snrnp27"
"Rlim4",1.16294341579272e-12,0.453254226855674,0.27,0.218,2.83595381375214e-08,"21","Rlim"
"Cyc17",1.52183206117151e-12,0.393557980877,0.46,0.419,3.71113966437283e-08,"21","Cyc1"
"Ccnl17",1.97617662415988e-12,0.257261437313856,0.469,0.41,4.81910431567628e-08,"21","Ccnl1"
"Ppp2r2a4",2.09222923722999e-12,0.487700119336056,0.322,0.273,5.10211021790905e-08,"21","Ppp2r2a"
"Fundc26",2.35146353303728e-12,0.370639930597704,0.337,0.281,5.7342789716647e-08,"21","Fundc2"
"Dpm33",2.45161320327587e-12,0.347377216423805,0.439,0.389,5.97850395750854e-08,"21","Dpm3"
"Thap125",3.21616084521056e-12,0.415494642755162,0.253,0.202,7.84292983713048e-08,"21","Thap12"
"Ndufv18",3.55855542799066e-12,0.373128318587365,0.393,0.341,8.67789326669803e-08,"21","Ndufv1"
"Rsrc16",3.94724141122159e-12,0.347067144995784,0.381,0.324,9.62574290540496e-08,"21","Rsrc1"
"Sod27",4.20250328637339e-12,0.270492604606783,0.478,0.431,1.02482245141501e-07,"21","Sod2"
"Vkorc14",4.84009728875728e-12,0.417981712235223,0.259,0.208,1.18030612483635e-07,"21","Vkorc1"
"Pfdn15",6.57127547673427e-12,0.34212523690227,0.435,0.389,1.60247123775642e-07,"21","Pfdn1"
"Thoc74",7.01985223657574e-12,0.318914307100395,0.396,0.342,1.71186116641136e-07,"21","Thoc7"
"Idh3g5",8.26014697869201e-12,0.43823349469581,0.33,0.283,2.01431944222383e-07,"21","Idh3g"
"Ccdc1867",1.18199843801527e-11,0.391892278634596,0.286,0.235,2.88242139094403e-07,"21","Ccdc186"
"Mat2a5",1.50834528950814e-11,0.41820628445978,0.402,0.356,3.67825082299454e-07,"21","Mat2a"
"Alkbh54",3.52114571232427e-11,0.389795129274426,0.284,0.233,8.58666593407397e-07,"21","Alkbh5"
"Stat39",3.677171305619e-11,0.283137228547636,0.324,0.269,8.9671499458825e-07,"21","Stat3"
"Cltb6",3.74538717989084e-11,0.312135829956594,0.32,0.266,9.13350117688181e-07,"21","Cltb"
"Taok18",3.98412527730186e-11,0.332622389759219,0.426,0.371,9.71568790122831e-07,"21","Taok1"
"Tnfrsf217",4.02367994466761e-11,0.875576915775102,0.269,0.235,9.81214591306643e-07,"21","Tnfrsf21"
"Trim214",5.24574203133934e-11,0.405355788498113,0.31,0.26,1.27922665176241e-06,"21","Trim2"
"Rbpj5",7.94249438688768e-11,0.279330755429706,0.321,0.268,1.93685668118643e-06,"21","Rbpj"
"Cdc403",1.10440544202316e-10,0.370286631833525,0.282,0.233,2.69320311091769e-06,"21","Cdc40"
"2900097C17Rik5",1.35766709191772e-10,0.345638439852579,0.389,0.345,3.31080697035055e-06,"21","2900097C17Rik"
"Pin13",2.48326821761398e-10,0.397031302771014,0.275,0.229,6.05569787547345e-06,"21","Pin1"
"Snhg86",3.57616711157432e-10,0.336367011369148,0.364,0.313,8.72084111828513e-06,"21","Snhg8"
"Cab39l8",5.67163549858512e-10,0.390273340963916,0.326,0.28,1.38308503268497e-05,"21","Cab39l"
"Utp114",1.09463445032421e-09,0.382788054616233,0.26,0.216,2.66937557056061e-05,"21","Utp11"
"Srpk26",1.10642563963307e-09,0.276499058266582,0.445,0.397,2.69812956480921e-05,"21","Srpk2"
"Rwdd15",1.27521620520539e-09,0.326714117216341,0.435,0.397,3.10974223801387e-05,"21","Rwdd1"
"Evi56",1.40027556109714e-09,0.360344626609409,0.267,0.221,3.41471198329148e-05,"21","Evi5"
"Eif1b6",1.49256086615154e-09,0.34667218357708,0.468,0.429,3.63975892819713e-05,"21","Eif1b"
"Chmp36",1.52369848350422e-09,0.283700318637018,0.381,0.334,3.71569112187338e-05,"21","Chmp3"
"Sptssa8",1.63586693796695e-09,0.315081720946112,0.314,0.267,3.9892251149262e-05,"21","Sptssa"
"Sesn37",3.37335099116761e-09,0.301446321276285,0.308,0.26,8.22625372706132e-05,"21","Sesn3"
