"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rpl36al",2.5287794673565e-27,-0.631035319332825,1,1,6.16668160909556e-23
"Vdac2",2.85119997970159e-27,-0.447132259788027,1,1,6.95293627050029e-23
"Snrpe",3.61738330595345e-27,-0.594620009169245,1,1,8.82135092989807e-23
"Ybx1",3.70038766223276e-27,-0.32314469168678,1,1,9.02376535312082e-23
"Ndufb8",4.04084616069664e-27,-0.396472611846778,1,1,9.85400744747484e-23
"Psma3",4.78398364457537e-27,-0.458068785667989,1,1,1.16662225156615e-22
"Rpl26",8.48001844349737e-27,-0.267291446356762,1,1,2.06793729763127e-22
"Saraf",1.21002238702033e-26,-0.398272400483914,1,1,2.95076059298777e-22
"Actb",2.35327701047995e-26,-0.397291472294044,1,1,5.7387013177564e-22
"Tmem59",2.52012674681768e-26,-0.41284711545152,1,1,6.14558108478961e-22
"Tbca",2.64719379029695e-26,-0.490100381799364,1,1,6.45544677701815e-22
"Ube2d3",3.17864807546024e-26,-0.502224875768042,1,1,7.75145119681733e-22
"Rpl18",5.12412048815454e-26,-0.401795547129412,1,1,1.24956802224137e-21
"Atp5d",9.37203649444413e-26,-0.420721395771054,1,1,2.28546481953515e-21
"Rps3a1",9.42524496556145e-26,-0.356764123664997,1,1,2.29844023730182e-21
"Tomm7",9.84260966754631e-26,-0.416621656220607,1,1,2.40021879352784e-21
"Dnaja1",1.18280235440503e-25,-0.291057713221739,1,1,2.8843818214521e-21
"Taldo1",1.22006388812051e-25,-0.568865923009136,1,1,2.97524779757067e-21
"Spint2",1.33745570396061e-25,-0.523178293163636,1,1,3.26151947967835e-21
"Eif3k",1.44109397818798e-25,-0.570106445611776,1,1,3.5142517752092e-21
"Cox6a1",1.53420913575355e-25,-0.387346863521358,1,1,3.7413223984486e-21
"Uqcr11",1.57436900151004e-25,-0.410662818685068,1,1,3.83925624708238e-21
"Rps21",1.68050042516182e-25,-0.30669541541839,1,1,4.09806833679962e-21
"Khdrbs3",1.82284511886341e-25,-0.503631886132642,1,1,4.44519010686032e-21
"Sec61b",1.86706233154303e-25,-0.562152712064288,1,1,4.55301820170083e-21
"Mdh2",2.33775641358148e-25,-0.55941631086269,1,1,5.70085279015979e-21
"Rps5",3.55672923544098e-25,-0.370474698218231,1,1,8.67343991354639e-21
"Ndufb10",4.93148950357005e-25,-0.429451671035728,1,1,1.20259303034059e-20
"Cox6b1",1.57975063607702e-24,-0.383011715964047,1,1,3.85237990113742e-20
"Olfm1",1.67540134095893e-24,-0.212851097443887,1,1,4.08563371006246e-20
"Clta",1.71484806659665e-24,-0.523930459659775,1,1,4.18182849520259e-20
"Tmsb4x",2.23358516701353e-24,-0.237892621355718,1,1,5.4468207882792e-20
"Abhd16a",2.63595980388036e-24,-0.383145923731474,1,1,6.42805157774264e-20
"Hsbp1",2.6745892152163e-24,-0.438650344277874,1,1,6.52225326022646e-20
"Snrpf",2.92420249796699e-24,-0.413696351395555,1,1,7.1309602115423e-20
"Cdc42",3.29139573994298e-24,-0.546998559759793,1,1,8.02639765142495e-20
"Uqcrfs1",4.34485755170687e-24,-0.443450546746594,1,1,1.05953696255924e-19
"Psenen",4.64601244085817e-24,-0.633812433807119,1,1,1.13297659382767e-19
"Ndufb6",5.50711054096751e-24,-0.458591055243889,1,1,1.34296397652034e-19
"Mrps14",6.91342305099516e-24,-0.5440219983023,1,1,1.68590734521568e-19
